titre,infos,ingredients,instructions,temps_preparation,infos_regime,valeurs_100g,valeurs_portion,all_infos,cleaned_infos,cluster2
"Wraps de Pois Chiches, à la Feta & Frites Maison","Emballé, cest pesé avec ce wrap à la grecque, garni de pois chiches rôtis au paprika fumé et de concombre à la feta. Sans oublier la cébette fraîche et les frites maison crousti-fondantes.",tortillas de blé : 8 pièces; feta : 150 g; pois-chiches : 460 g; pommes de terre : 1000 g; concombre : 1 pièce; cébette : 1 pièce; paprika fumé : 2 c.c.,"1. Un tour au four : Préchauffez votre four à 200°C en chaleur tournante*. Lavez et coupez les pommes de terre en 2 puis en quartiers. Disposez-les sur une plaque couverte de papier cuisson. Arrosez dhuile dolive , salez et poivrez . Mélangez du bout des doigts et enfournez 30 min. | 2. Salade concombre : Lavez puis coupez le concombre en cubes dun cm (cf. quantité). Si besoin, ôtez la 1ʳᵉ peau de la cébette puis émincez-la* (cf. quantité). Dans un saladier, mélangez les cubes de concombre avec la cébette , la feta (cf. quantité) et un filet* dhuile dolive , poivrez . | 3. Pois-chiches dorés : Égouttez puis rincez les pois chiches . Chauffez une sauteuse* à feu moyen avec un filet dhuile dolive . Faites revenir* les pois chiches avec le paprika fumé 2 à 3 min en remuant régulièrement. Ils doivent légèrement dorer. Salez et poivrez . Temps libre de 15 min. | 4. Hot tortilla : Une fois les pommes de terre tendres, ajoutez les tortillas sur la plaque pendant 2 min pour les réchauffer. | 5. Montage : Garnissez les tortillas avec la salade feta-concombre et les pois chiches . Vous pouvez ajouter des feuilles de salade si vous en avez. Repliez les côtés puis roulez en wrap. Servez-les avec les frites ! Vous pouvez également les mettre dans les wraps.",25 min,"végé, bio, Recette légume","Énergie : 138 kcal581 kJ; Protéines : 7,46 g; Lipides : 4,39 g; Fibres : 4,01 g; Glucides : 24,9 g; Graisses saturées : 1,28 g; Sucres : 2,82 g; Sel : 0,42 g","Énergie : 768 kcal3 227 kJ; Protéines : 41,42 g; Lipides : 24,37 g; Fibres : 22,27 g; Glucides : 138,25 g; Graisses saturées : 7,13 g; Sucres : 15,67 g; Sel : 2,32 g","Emballé, cest pesé avec ce wrap à la grecque, garni de pois chiches rôtis au paprika fumé et de concombre à la feta. Sans oublier la cébette fraîche et les frites maison crousti-fondantes. végé, bio, Recette légume",emballé cest pesé wrap grecque garni poi chiches rôtis paprika fumé concombre feta oublier cébette fraîche frites maison croustifondantes végé bio légume,7
"Polenta Crémeuse, & Légumes Rôtis au Pesto","Une polenta crémeuse cuite minute, des carottes et du butternut rôtis au four, un pesto frais, pleins de nutriments bâtisseurs. Une assiette 100% nutrition et 100% plaisir !",Polenta : 200 g; Crème de soja : 200 ml; Butternut : 500 g; Carotte : 400 g; Romarin frais : 2 tiges; Pecorino : 60 g; Pesto : 80 g,"1. Demi-lunes : Préchauffez le four à 180°C en chaleur tournante*. Coupez la butternut non épluchée en 2 dans la longueur (cf. quantité). Attention les doigts ! Videz les graines avec une cuillère à soupe et coupez-la en demi-lunes denviron 1 cm dépaisseur. | 2. Un tour au four : Épluchez les carottes puis coupez-les en bâtonnets. Disposez les légumes sur une plaque couverte de papier cuisson. Arrosez dun filet* dhuile dolive , salez et poivrez puis enfournez 40 min. | 3. Infusion romarin : Chauffez leau (cf. quantité) à feu moyen dans une casserole de taille moyenne. Une fois leau frémissante*, arrêtez le feu et plongez-y le romarin . Laissez infuser* jusquà ce que les légumes soient tendres. Temps libre de 30 min ! | 4. Polenta crémeuse : Une fois les légumes tendres, retirez la branche de romarin et portez leau à ébullition. Versez-y la polenta en pluie* et mélangez énergiquement avec un fouet, 4 à 5 min à feu doux*. Salez et poivrez , ajoutez la crème de soja (cf. quantité) et mélangez de nouveau. Ajoutez un peu deau si la polenta est trop épaisse. | 5. Repas multicolore ! : Servez la polenta bien chaude dans des assiettes avec les légumes . Ajoutez le pesto par-dessus et réalisez des copeaux de pecorino à laide dun économe au moment de servir !",25 min,"végé, Recette légume, Kids friendly, sans gluten, <600 kcal","Énergie : 70 kcal293 kJ; Protéines : 1,77 g; Lipides : 3,18 g; Fibres : 1,23 g; Glucides : 7,55 g; Graisses saturées : 0,75 g; Sucres : 1,23 g; Sel : 0,22 g","Énergie : 482 kcal2 013 kJ; Protéines : 12,16 g; Lipides : 21,8 g; Fibres : 8,45 g; Glucides : 51,83 g; Graisses saturées : 5,15 g; Sucres : 8,47 g; Sel : 1,52 g","Une polenta crémeuse cuite minute, des carottes et du butternut rôtis au four, un pesto frais, pleins de nutriments bâtisseurs. Une assiette 100% nutrition et 100% plaisir ! végé, Recette légume, Kids friendly, sans gluten, <600 kcal",polenta crémeuse cuite minute carottes butternut rôtis four pesto frais pleins nutriment bâtisseurs assiette plaisir végé légume gluten,7
Salade Hivernale de Lentilles & Sauce Crémeuse au Sésame,"Une assiette 100% nutrition combinant lentilles, orange juteuse, pomme  acidulée, betterave fondante , le tout parsemé dune sauce crémeuse au sésame. Un bon coup de fouet pour affronter lhiver !",Lentilles vertes : 300 g; Betterave cuite : 400 g; Orange : 2 pièces; Pomme : 1 pièce; Noisettes : 40 g; Échalote : 1 pièce; Citron : 1 pièce; Ciboulette fraîche : 8 tiges; Tahini : 60 g,"1. Mise en place : Faites bouillir une casserole deau non salée pour cuire les lentilles .
 Égouttez les betteraves puis coupez-les en cubes. Faites-le sur une planche en verre ou une assiette, ça tâche les planches en bois ! Épluchez léchalote et hachez-la* finement (cf quantité). | 2. Coupe, coupe, coupe : Plongez les lentilles dans leau bouillante pendant 25 min. Salez à mi-cuisson. Ciselez la ciboulette (cf quantité).
 Concassez* les noisettes . | 3. Fruity touch : Pelez lorange puis prélevez les suprêmes*. Toute la technique dans notre tuto vidéo. Épluchez la pomme , coupez-la en quartiers et ôtez son cœur.
 Pressez le citron (cf quantité). | 4. Sauce crémeuse : Dans un bol,
 Mélangez le tahini , le jus de citron et leau (2 càs* pour 2, 4 càs pour 4). Salez et poivrez . Dosez le citron selon vos goûts, ajoutez-le au fur et à mesure en goûtant. Mélangez bien pour obtenir une consistance homogène. | 5. Finitions ! : Goûtez puis égouttez les lentilles , arrosez-les dun filet* dhuile dolive , ajoutez les échalotes et mélangez bien.
 Servez-les dans des assiettes, et ajoutez les fruits .
 Arrosez de sauce crémeuse au sésame et parsemez de ciboulette et de noisettes .",35 min,"nutrition, végé, Recette légume, sans gluten, sans lactose, <600 kcal","Énergie : 110 kcal460 kJ; Protéines : 5,64 g; Lipides : 3,56 g; Fibres : 4,54 g; Glucides : 11,16 g; Graisses saturées : 0,49 g; Sucres : 4,86 g; Sel : 0,03 g","Énergie : 534 kcal2 228 kJ; Protéines : 27,3 g; Lipides : 17,22 g; Fibres : 22 g; Glucides : 54,04 g; Graisses saturées : 2,38 g; Sucres : 23,54 g; Sel : 0,17 g","Une assiette 100% nutrition combinant lentilles, orange juteuse, pomme  acidulée, betterave fondante , le tout parsemé dune sauce crémeuse au sésame. Un bon coup de fouet pour affronter lhiver ! nutrition, végé, Recette légume, sans gluten, sans lactose, <600 kcal",assiette combinant lentilles orange juteuse pomme acidulée betterave fondante tout parsemé dune sauce crémeuse sésame bon coup fouet affronter lhiver végé légume gluten lactose,7
Mini quenelles Gratinées au Taleggio,"Découvrez les soufflettes, ces mini quenelles de Lyon. Faites-les dorer au four avec un fromage italien de caractère marié à la texture douce et fondante de la poire rôtie. Un plaisir crémeux facile à préparer.",Minis quenelles : 500 g; Poire : 1 pièce; Taleggio : 140 g; Noix : 60 g; Crème liquide : 200 ml,"1. Démarrage efficace : Préchauffez votre four à 200°C en chaleur traditionnelle*
 Épluchez et coupez la poire en quartiers (cf quantités)
 Ôtez le cœur et taillez les quartiers en lamelles | 2. Ambiance fondue : Coupez le taleggio en cubes Si vous préférez, retirez la croûte | 3. Un tour au four : Dans un plat à gratin, disposez les mini quenelles Versez la crème liquide (cf quantités), salez & poivrez Ajoutez par dessus les noix , les cubes de taleggio et les lamelles de poire Enfournez 15 min dans votre four chaud | 4. Service express : Une fois que le gratin est doré, dégustez bien chaud ! Nhésitez pas à mettre votre four en mode grill en fin de cuisson pour bien gratiner le plat",10 min,"gourmand, végé, efficace, -20min, Recette légume, Kids friendly, <600 kcal","Énergie : 220 kcal917 kJ; Protéines : 7,28 g; Lipides : 14,66 g; Fibres : 1,78 g; Glucides : 10,05 g; Graisses saturées : 4,31 g; Sucres : 3,19 g; Sel : 0,5 g","Énergie : 596 kcal2 485 kJ; Protéines : 19,72 g; Lipides : 39,74 g; Fibres : 4,83 g; Glucides : 27,24 g; Graisses saturées : 11,67 g; Sucres : 8,64 g; Sel : 1,37 g","Découvrez les soufflettes, ces mini quenelles de Lyon. Faites-les dorer au four avec un fromage italien de caractère marié à la texture douce et fondante de la poire rôtie. Un plaisir crémeux facile à préparer. gourmand, végé, efficace, -20min, Recette légume, Kids friendly, <600 kcal",découvrez soufflettes mini quenelles lyon faitesles dorer four fromage italien caractère marié texture douce fondante poire rôtie plaisir crémeux facile préparer gourmand végé légume,7
Burrata & Tomate Cœur de Bœuf,"L’Italie en toute simplicité avec ce duo de cœur(s) ! Une tomate charnue, snackée et saisie comme un steak, une burrata généreuse, croûtons croustillants et d’autres surprises pour ce grand classique revisité.",Burratas : 4 pièces; Herbes citronnées : 2 c.c.; Haricots mungo : 200 g; Pain au levain : 4 pièces; Tomate cœur de bœuf : 2 pièces,"1. Chaud haricots ! : Sortez la burrata du frigo pour la ramener à température ambiante
 Préchauffez le four à 200°C en chaleur tournante* 
 Disposez les haricots mungo dans une casserole deau froide (cf quantité)
 Portez à ébullition puis faites cuire 35 min à feu doux* Salez à mi-cuisson pour éviter que les haricots ne durcissent | 2. Croûtons croustillants : Coupez les tranches de pain en petits cubes
 Disposez-les sur une plaque couverte de papier cuisson et arrosez dun filet* dhuile dolive , salez et poivrez Enfournez 5 à 7 min, jusquà ce quils soient dorés et croustillants Temps libre ! Profitez-en pour servir lapéro | 3. Mungo Mungo : Lavez la tomate et coupez-la en 2 dans lépaisseur de façon à faire 2 beaux steaks !  
 Recoupez les extrémités pour que les 2 faces soient plates
 Si besoin, égouttez les haricots dans une passoire, puis mettez-les dans un saladier 
 Ajoutez-y les herbes citronnées , salez et poivrez Versez un filet* dhuile dolive et du vinaigre de votre choix et mélangez bien | 4. Cœur de bœuf : Au dernier moment, faites chauffer une poêle à feu moyen avec un trait* dhuile dolive Quand elle est chaude, faites-y dorer les tranches de tomate 1 min par face, salez & poivrez Sur un lit de haricots mungo , servez le steak de tomate Disposez la burrata par-dessus, salez et poivrez puis arrosez d’un filet* dhuile dolive Terminez les assiettes avec quelques croûtons dorés",20 min,"végé, efficace, -20min, Recette légume, <600 kcal, sans gluten","Énergie : 61 kcal255 kJ; Protéines : 3,57 g; Lipides : 4,19 g; Fibres : 0,68 g; Glucides : 1,92 g; Graisses saturées : 2,75 g; Sucres : 1,59 g; Sel : 0,08 g","Énergie : 324 kcal1 350 kJ; Protéines : 18,9 g; Lipides : 22,18 g; Fibres : 3,61 g; Glucides : 10,17 g; Graisses saturées : 14,58 g; Sucres : 8,44 g; Sel : 0,41 g","L’Italie en toute simplicité avec ce duo de cœur(s) ! Une tomate charnue, snackée et saisie comme un steak, une burrata généreuse, croûtons croustillants et d’autres surprises pour ce grand classique revisité. végé, efficace, -20min, Recette légume, <600 kcal, sans gluten",litalie toute simplicité duo cœurs tomate charnue snackée saisie comme steak burrata généreuse croûtons croustillants dautres surprise grand classique revisité végé légume gluten,7
Galette des Rois aux Pommes,"La belle galette aux pommes des Commis, délicieusement fondante, bien dorée et feuilletée magnifiera tous les goûters de janvier !",Pâte feuilletée : 2 pièces; Œuf : 3 pièces; Pomme : 2 pièces; Sucre : 40 g; Crème fraîche : 40 g; Gingembre (poudre) : 2 g; Grains de vanille : 2 g; fève : 1 pièce; couronne : 1 pièce,"1. La crème de la crème : Dans un saladier, cassez 2 œufs entiers
 Ajoutez-y le sucre , fouettez jusquà ce que le mélange blanchisse*
 Ajoutez les grains de vanille , les pommes , le gingembre , et la crème fraîche dans le saladier 
 Puis, mélangez pour terminer lappareil * | 2. Bien pommé : Préchauffez votre four à 180°C en chaleur statique*
 Pelez et râpez les pommes ou coupez-les en fines lamelles | 3. Et la pâte ? : Sortez les pâtes feuilletées du frigo
 Déroulez une 1ère pâte sur une plaque à four en laissant le papier cuisson
 Piquez-la avec une fourchette
 Étalez lappareil aux pommes sur la pâte feuilletée en laissant 2 cm sur le bord
 Du bout du doigt, humidifiez le bord avec un peu deau Déposez la fève à lendroit de votre choix | 4. Belle soudure : Recouvrez avec la 2ème pâte et soudez les bords en appuyant avec une fourchette
 Ensuite, pincez les bords avec la pointe dun couteau : on appelle ça chiqueter | 5. Roule galette : Cassez le 3ème œuf et mettez le jaune dans un petit bol
 Ajoutez-y 1 càs* deau pour délayer*
 Dorez la galette avec ce mélange à laide dun pinceau ou du bout des doigts
 Réservez la galette au frais 10 min
 Sortez la galette et décorez le dessus avec un couteau, sans percer la pâte Enfournez 30 min, en bas de votre four | 6. À qui la fève ? : Vérifiez la cuisson de la galette , elle doit être bien dorée Couvrez-la avec du papier aluminium si elle dore un peu trop, et prolongez la cuisson jusquà 45 min si besoin Servez-la encore tiède !",15 min,"gourmand, thématique, -20min, Recette légume","Énergie : 225 kcal942 kJ; Protéines : 5,43 g; Lipides : 11,3 g; Fibres : 1,66 g; Glucides : 24,87 g; Graisses saturées : 6,82 g; Sucres : 7,39 g; Sel : 0,38 g","Énergie : 799 kcal3 339 kJ; Protéines : 19,27 g; Lipides : 40,07 g; Fibres : 5,89 g; Glucides : 88,19 g; Graisses saturées : 24,19 g; Sucres : 26,22 g; Sel : 1,36 g","La belle galette aux pommes des Commis, délicieusement fondante, bien dorée et feuilletée magnifiera tous les goûters de janvier ! gourmand, thématique, -20min, Recette légume",belle galette pommes commis délicieusement fondante bien dorée feuilletée magnifiera tous goûters janvier gourmand légume,7
Nachos de Patate Douce,"Direction le Mexique avec ces nachos de patate douce recouverts de cheddar gratiné, de haricots rouges fondants et de radis frais. On y ajoute une sauce aux épices mexicaines pour une explosion de saveurs !",Patate douce : 2 pièces; Cébette : 3 tiges; Haricots rouges : 2 pièces; Cheddar râpé : 200 g; Yaourt : 2 pièces; Épices mexicaines : 2 c.s.; Piment : 1 pièce; Radis : 1 botte,"1. La patate ! : Préchauffez le four à 200°C en chaleur traditionnelle .
 Épluchez et coupez la patate douce en tranches denviron 1 cm dépaisseur.
 Disposez-la sur une plaque couverte de papier cuisson.
 Badigeonnez* dhuile dolive , salez , poivrez et enfournez 20 à 25 min dans le four chaud. | 2. Pendant ce temps-là : Égouttez les haricots rouges .
 Si besoin, retirez la 1ère peau de la cébette et émincez-la*.
 Coupez les radis en quartiers.
 Coupez le piment en 2  dans la longueur et émincez-le finement (cf quantité). | 3. Sauce mexicaine : Dans un bol, mélangez le yaourt et les épices mexicaines , salez . Dosez les épices mexicaines à votre goût, elles sont relevées ! | 4. Finitions gratinées : 10 min avant la fin de cuisson de la patate :
 Ajoutez les haricots rouges , puis parsemez de cheddar .
 Ajoutez également le piment . Dosez selon vos goûts ou servez-le à part si vous avez des enfants. Enfournez de nouveau environ 3 min pour faire gratiner le cheddar . | 5. Service bariolé : Servez les nachos de patate douce parsemés de radis .
 Arrosez de sauce mexicaine .
 Vous pouvez accompagner ce plat dune salade assaisonnée avec la vinaigrette de votre choix.",25 min,"gourmand, végé, Recette légume, sans gluten","Énergie : 96 kcal404 kJ; Protéines : 4,67 g; Lipides : 3,11 g; Fibres : 3,09 g; Glucides : 12,54 g; Graisses saturées : 2,03 g; Sucres : 4,04 g; Sel : 0,31 g","Énergie : 638 kcal2 681 kJ; Protéines : 30,97 g; Lipides : 20,61 g; Fibres : 20,5 g; Glucides : 83,14 g; Graisses saturées : 13,47 g; Sucres : 26,75 g; Sel : 2,02 g","Direction le Mexique avec ces nachos de patate douce recouverts de cheddar gratiné, de haricots rouges fondants et de radis frais. On y ajoute une sauce aux épices mexicaines pour une explosion de saveurs ! gourmand, végé, Recette légume, sans gluten",direction mexique nacho patate douce recouverts cheddar gratiné haricot rouge fondant radis frais ajoute sauce épices mexicaines explosion saveurs gourmand végé légume gluten,7
"Halloumi Grillé, & Légumes à la Grecque","Des tomates charnues et du concombre croquant, des olives de Kalamata goûtues, un brun doignon rouge pour le peps, lhalloumi grillé fondant et des croûtons croustillants… Aller simple vers le soleil !",Halloumi Famille Elya : 2 pièces; Pain bruschetta : 2 tranches; Tomate : 600 g; Concombre : 2 pièces; Olive de Kalamata : 40 g; Oignon rouge : 1 pièce,"1. Le plein de fraîcheur : Épluchez et émincez* finement loignon rouge (cf. quantité). Plongez loignon dans un bol deau froide pendant une dizaine de minutes pour adoucir son goût ! Ôtez le pédoncule* de la tomate puis coupez-la en quartiers. Épluchez puis coupez le concombre en cubes. | 2. Joyeux mélange : Si vous avez suivi lastuce, égouttez loignon rouge . Disposez-le dans un saladier avec la tomate , le concombre et les olives . Arrosez le tout dun filet* dhuile dolive , salez et poivrez puis mélangez. | 3. Découpes : Coupez le pain en cubes de 1 cm. Coupez lhalloumi en tranches. Disposez-les sur du papier absorbant pour éponger lhumidité. | 4. Croûtons maison : Chauffez une poêle à feu moyen avec un bon filet dhuile dolive . Lorsque lhuile est bien chaude, faites-y griller les croûtons pendant 3 à 4 min en remuant constamment, salez . Jusquà ce quils soient dorés et croustillants. | 5. Fromage chypriote : Débarrassez les croûtons dans un bol et chauffez de nouveau la poêle à feu vif* avec un filet dhuile dolive . Faites-y dorer lhalloumi 2 min par face. Il doit bien griller et être moelleux au toucher. | 6. Un air dété ! : Servez la salade grecque avec lhalloumi grillé et les croutons croustillants !",20 min,"végé, efficace, Méditerranée, Recette légume, -20min, <600 kcal","Énergie : 112 kcal469 kJ; Protéines : 6,73 g; Lipides : 7,05 g; Fibres : 1,19 g; Glucides : 5,87 g; Graisses saturées : 3,71 g; Sucres : 2,16 g; Sel : 0,71 g","Énergie : 465 kcal1 948 kJ; Protéines : 27,95 g; Lipides : 29,29 g; Fibres : 4,93 g; Glucides : 24,36 g; Graisses saturées : 15,42 g; Sucres : 8,95 g; Sel : 2,94 g","Des tomates charnues et du concombre croquant, des olives de Kalamata goûtues, un brun doignon rouge pour le peps, lhalloumi grillé fondant et des croûtons croustillants… Aller simple vers le soleil ! végé, efficace, Méditerranée, Recette légume, -20min, <600 kcal",tomates charnues concombre croquant olive kalamata goûtues brun doignon rouge pep lhalloumi grillé fondant croûtons croustillants aller simple vers soleil végé méditerranée légume,7
Flammekueche dAutomne,"À l’origine, la tarte flambée est un plat de campagne populaire, cuit dans le four du boulanger. Ici Maria vous fait découvrir ce classique de la gastronomie strasbourgeoise, en version végétarienne et efficace, avec du butternut, du bleu et des noix !",pâte à flammekueche : 2 pièces; fromage bleu : 120 g; crème liquide : 200 ml; butternut : 600 g; oignon jaune : 400 g; noix concassées : 2 c.s.; thym : 2 c.c.,"1. Découpes : Préchauffez votre four à 180°C en chaleur tournante*. Pelez et émincez* les oignons en fines rondelles. Lavez, épluchez et coupez le butternut en petits dés. | 2. Flammekueche : Sur une plaque allant au four recouverte de papier cuisson ou dans un moule à tarte, déroulez la pâte à flammekueche et nappez-la de crème liquide (cf quantité), en laissant une marge dun centimètre sur le pourtour. Répartissez uniformément les oignons , le butternut , le fromage bleu , les noix concassées , lhuile dolive , le thym , du sel et du poivre . Enfournez pendant 30 minutes. | 3. Dressage : Dégustez la flammekueche bien chaude, avec un trait de miel selon votre goût. Bon appétit !",15 min,"bio, végé, -20min, Recette légume, sans gluten","Énergie : 161 kcal676 kJ; Protéines : 5,07 g; Lipides : 6,76 g; Fibres : 1,78 g; Glucides : 17,35 g; Graisses saturées : 3,1 g; Sucres : 2,98 g; Sel : 0,76 g","Énergie : 656 kcal2 755 kJ; Protéines : 20,66 g; Lipides : 27,56 g; Fibres : 7,25 g; Glucides : 70,69 g; Graisses saturées : 12,63 g; Sucres : 12,15 g; Sel : 3,1 g","À l’origine, la tarte flambée est un plat de campagne populaire, cuit dans le four du boulanger. Ici Maria vous fait découvrir ce classique de la gastronomie strasbourgeoise, en version végétarienne et efficace, avec du butternut, du bleu et des noix ! bio, végé, -20min, Recette légume, sans gluten",lorigine tarte flambée plat campagne populaire cuit four boulanger ici maria fait découvrir classique gastronomie strasbourgeoise version végétarienne butternut bleu noix bio végé légume gluten,7
"Orge Perlé aux Câpres, Aneth & Artichauts","Cette assiette rime avec di-ver-si-té ! Eh oui, ce plat complet, frais et délicieux, vous apportera tous les nutriments et les protéines complètes et végétales dont votre corps a besoin !",Orge perlé : 150 g; Haricots blancs : 1 pièce; Carotte : 2 pièces; Choux de Bruxelles : 400 g; Artichauts marinés : 200 g; Citron jaune : 1 pièce; Ail : 1 pièce; Câpres : 30 g; Aneth : 4 tiges,"1. Petites découpes : Faites bouillir une casserole deau salée pour cuire lorge perlé .
 Épluchez et claquez* lail (cf quantité).
 Épluchez et coupez la carotte en 2 dans la longueur puis en biseaux.*
 Coupez le pied des choux de Bruxelles puis coupez-les en 4.
 Ciselez* laneth (cf quantité). | 2. En route : Chauffez une sauteuse à feu vif avec un filet dhuile de colza ou dhuile dolive .
 Ajoutez lail , les carottes et les choux de Bruxelles dans la sauteuse, salez et poivrez .
 Faites suer* le tout 1 à 2 min en remuant. | 3. Mijotage : Ajoutez de leau à mi-hauteur*.
 Couvrez et laissez mijoter 10 à 15 min à feu doux. Les choux seront encore al dente*. En fin de cuisson, ôtez le couvercle de la sauteuse, mettez à feu vif* et laissez leau sévaporer.
 Plongez lorge perlé dans leau bouillante pendant 14 min. | 4. Vinaigrette citronnée : Dans un bol, prélevez le zeste du citron à laide une râpe fine.
 Puis, coupez-le en 2 et pressez son jus (cf quantité).
 Ajoutez au bol les câpres , laneth et quelques filets dhuile dolive .
 Réservez jusquau service. | 5. Finitions : Égouttez lorge perlé , rincez-le sous leau froide et remettez-le dans la casserole. 
 Égouttez et rincez les haricots blancs (cf quantité) à laide dune passoire et mélangez-les avec lorge perlé et un filet dhuile dolive . | 6. Joyeux mélange : Servez les haricots blancs et lorge perlé avec la vinaigrette citronnée et les légumes sautés .
 Parsemez le tout dartichauts marinés et dégustez aussitôt !",20 min,"végé, nutrition, -20min, Recette légume, sans gluten, sans lactose, <600 kcal","Énergie : 127 kcal527 kJ; Protéines : 3,1 g; Lipides : 3,78 g; Fibres : 3,43 g; Glucides : 8,42 g; Graisses saturées : 0,44 g; Sucres : 2,04 g; Sel : 0,38 g","Énergie : 438 kcal1 824 kJ; Protéines : 10,71 g; Lipides : 13,06 g; Fibres : 11,87 g; Glucides : 29,12 g; Graisses saturées : 1,51 g; Sucres : 7,07 g; Sel : 1,32 g","Cette assiette rime avec di-ver-si-té ! Eh oui, ce plat complet, frais et délicieux, vous apportera tous les nutriments et les protéines complètes et végétales dont votre corps a besoin ! végé, nutrition, -20min, Recette légume, sans gluten, sans lactose, <600 kcal",cette assiette rime diversité eh oui plat complet frais délicieux apportera tous nutriment protéines complètes végétales dont corp a besoin végé légume gluten lactose,7
Salade de Courgette aux Olives et Feta,Compatible TM5 / TM6 / TM31,Courgette : 300 g; Feta : 50 g; Olives vertes : 80 g; Piquillos : 50 g; Citron : 15 g,"1. Mise en place : Presser le citron.
 Couper les courgettes en morceaux. | 2. Déroulé : 1. Mettre les olives, le sel, le poivre, le jus de citron et lhuile dolive dans le bol, puis mixer 3 sec/vitesse 5 . Racler les parois du bol à laide de la spatule. 2. Ajouter les courgettes et les poivrons marinés (piquillos), puis hacher 4 sec/vitesse 4 . Transvaser dans un plat de service. 
 
 Ajouter la feta émiettée et les graines de lin (optionnel), puis réserver au frais jusquau moment de servir.",10 min,"végé, -20min, Recette légume, sans gluten, <600 kcal","Énergie : 97 kcal404 kJ; Protéines : 3,81 g; Lipides : 7,37 g; Fibres : 2,83 g; Glucides : 2,17 g; Graisses saturées : 2,21 g; Sucres : 1,6 g; Sel : 0,86 g","Énergie : 153 kcal634 kJ; Protéines : 5,97 g; Lipides : 11,56 g; Fibres : 4,43 g; Glucides : 3,4 g; Graisses saturées : 3,47 g; Sucres : 2,51 g; Sel : 1,34 g","Compatible TM5 / TM6 / TM31 végé, -20min, Recette légume, sans gluten, <600 kcal",compatible végé légume gluten,7
"Parmentier aux Lentilles, Mijotées à la Tomate","Un parmentier végé dont Giulia vous livre le secret : des lentilles mijotées à la tomate avec des petits légumes printaniers et du paprika fumé, sous une onctueuse purée de pommes de terre normandes, gratinée à lemmental. Assurément gourmand !",pommes de terre : 1000 g; carotte : 200 g; lentilles vertes : 200 g; coulis de tomate : 400 ml; petits pois : 220 g; oignon jaune : 2 pièces; ail : 2 pièces; emmental râpé : 200 g; paprika fumé : 2 c.c.,"1. Mise en place : Préchauffez votre four à 230°C en chaleur traditionnelle*. Épluchez la carotte et coupez-la en 2 dans la longueur. Puis, coupez-la en demi-rondelles. Égouttez les petits pois (cf. quantité). Épluchez puis hachez* lail et loignon . | 2. À leau : Épluchez les pommes de terre et coupez-les en cubes. Plongez-les dans une casserole deau froide salée . Portez à ébullition, puis laissez cuire 25 à 30 min à feu doux*. | 3. Suer* : Chauffez une sauteuse* ou une cocotte à feu moyen avec un filet* dhuile dolive . Faites-y suer* la carotte , loignon et lail pendant 2 min en remuant, salez et poivrez . Jusquà ce que loignon devienne translucide. | 4. Ça mijote : Ajoutez les lentilles , le coulis de tomate , le paprika fumé et leau (cf. quantité). Couvrez et laissez cuire 25 à 30 min à feu doux, salez et poivrez à mi-cuisson. Les lentilles doivent être fondantes. Ajoutez un peu deau si ça accroche. | 5. Belle purée : Lorsque les pommes de terre sont fondantes, égouttez-les et remettez-les dans la casserole. Piquez-les pour vérifier la cuisson, faites-les cuire 5 min de plus, si besoin. Écrasez-les à laide dun fouet et ajoutez du beurre ou de lhuile dolive à votre convenance. | 6. Service ! : Dans un plat à gratin, disposez les lentilles , ajoutez les petits pois puis recouvrez de purée . Saupoudrez le plat demmental râpé puis enfournez 3 à 4 min sous le gril. Une fois le hachis parmentier bien doré, dégustez-le sans tarder !",30 min,"Kids friendly, végé, gourmand, Traditionnel, Recette légume, sans gluten","Énergie : 89 kcal374 kJ; Protéines : 5,24 g; Lipides : 2,4 g; Fibres : 3,06 g; Glucides : 10,62 g; Graisses saturées : 1,39 g; Sucres : 2,28 g; Sel : 0,19 g","Énergie : 658 kcal2 758 kJ; Protéines : 38,59 g; Lipides : 17,68 g; Fibres : 22,56 g; Glucides : 78,24 g; Graisses saturées : 10,25 g; Sucres : 16,77 g; Sel : 1,36 g","Un parmentier végé dont Giulia vous livre le secret : des lentilles mijotées à la tomate avec des petits légumes printaniers et du paprika fumé, sous une onctueuse purée de pommes de terre normandes, gratinée à lemmental. Assurément gourmand ! Kids friendly, végé, gourmand, Traditionnel, Recette légume, sans gluten",parmentier végé dont giulia livre secret lentilles mijotées tomate petits légumes printaniers paprika fumé sou onctueuse purée pommes terre normandes gratinée lemmental assurément gourmand végé gourmand traditionnel légume gluten,7
